APPLICATION_SUBMISSION_TYPE,POSTAL_ADDRESS_TYPE,GENDER,MARITAL_STATUS,RESIDENTIAL_PHONE,RESIDENCE_TYPE,EMAIL,PROFESSIONAL_PHONE,PROFESSION_CODE,OCCUPATION_TYPE,PRODUCT,QUANT_ADDITIONAL_CARDS,QUANT_DEPENDANTS,MONTHS_IN_RESIDENCE,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,QUANT_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,MONTHS_IN_THE_JOB,AGE,TARGET_LABEL
Web,1,F,1,Y,1,1,Y,9,2,7,0,0,5,700,0,0,0,0,0,29,0
Web,1,F,2,Y,1,1,N,,,1,0,4,7,240,0,0,0,0,0,42,0
Web,1,F,1,Y,1,1,N,,,1,0,0,8,350,0,0,0,0,0,58,1
0,1,M,2,Y,1,1,N,9,1,1,0,0,20,1800,0,0,0,0,0,61,0
0,1,F,2,N,1,1,N,,,2,0,0,4,350,0,0,0,0,0,28,0
Web,1,F,2,Y,4,1,N,9,3,1,0,1,13,680,800,0,0,0,0,19,0
Paper,1,F,4,Y,2,1,N,10,1,1,0,0,1,900,0,0,0,0,0,57,1
Web,1,M,2,N,5,1,Y,9,2,1,0,0,2,201,0,0,0,0,0,22,0
0,1,M,2,N,5,1,Y,11,2,2,0,3,0,501,0,1,0,1,0,37,0
Web,1,M,5,Y,1,1,N,9,2,1,0,0,15,498,0,0,0,0,0,54,0
0,1,M,2,Y,1,1,N,9,2,1,0,2,22,2680,0,1,0,1,0,54,0
Web,1,F,2,Y,1,1,N,,,1,0,0,5,350,0,0,0,0,0,34,0
0,1,M,2,Y,1,1,N,9,5,1,0,0,4,750,0,1,0,1,0,47,0
Web,1,M,2,Y,1,1,N,,,2,0,0,10,800,0,0,0,0,0,53,0
Web,1,F,2,Y,1,1,N,9,2,1,0,0,30,700,0,0,0,0,0,53,0
Web,1,F,2,Y,1,1,N,9,1,2,0,1,15,525,15,0,0,0,0,54,0
Web,1,M,2,Y,1,1,N,2,4,1,0,1,10,406,0,0,0,0,0,39,0
Web,1,F,4,Y,1,1,N,9,1,1,0,2,30,600,0,0,0,0,0,67,0
Web,1,M,2,Y,1,1,Y,9,2,1,0,1,10,2060,0,0,0,0,0,51,0
0,1,F,2,Y,1,0,Y,9,2,1,0,0,3,882,1003,0,0,1,0,30,0
Web,1,F,2,Y,2,1,N,,,1,0,0,2,525,0,0,0,0,0,44,1
Web,1,F,1,Y,5,1,N,9,2,1,0,1,10,414.33,0,0,0,0,0,28,0
Web,1,M,2,Y,1,1,N,9,1,1,0,3,20,350,350,0,0,0,0,64,0
0,1,M,1,Y,1,0,Y,10,5,1,0,0,5,1041,0,1,0,1,0,25,0
0,1,M,5,N,1,0,N,9,1,1,0,0,1,350,0,1,0,1,0,66,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,4,1500,0,0,0,0,0,46,1
Web,1,F,1,Y,1,1,Y,9,5,1,0,1,1,633,0,0,0,0,0,27,0
Web,1,F,2,Y,,1,N,,,1,0,0,10,600,0,0,0,0,0,55,0
Web,1,M,1,Y,1,1,N,,,1,0,0,10,423,0,0,0,0,0,33,0
Web,1,F,1,Y,1,1,N,2,4,1,0,0,21,279,0,0,0,0,0,32,0
Web,2,F,2,Y,2,1,N,,,1,0,0,1,600,0,0,0,0,0,21,1
0,1,M,2,Y,1,0,Y,9,2,1,0,0,20,350,0,1,0,1,0,23,0
Web,1,M,2,Y,1,1,N,,,1,0,0,5,660.45,0,0,0,0,0,30,1
0,1,F,2,Y,1,1,N,9,4,1,0,0,1,200,0,1,0,1,0,25,1
Web,1,M,1,Y,1,1,N,9,4,1,0,0,1,569.76,0,0,0,0,0,46,0
0,1,F,4,N,1,0,N,9,1,1,0,8,7,600,0,1,0,1,0,66,1
0,1,F,2,Y,1,0,N,9,1,2,0,1,14,600,0,1,0,1,0,66,0
Web,1,F,2,Y,1,1,N,2,4,1,0,2,17,253,0,0,0,0,0,39,0
Web,1,F,1,Y,1,1,N,9,,1,0,0,20,700,0,0,0,0,0,35,0
Web,1,F,2,Y,1,1,Y,10,2,1,0,2,10,855,0,0,0,0,0,25,0
Web,1,M,2,Y,1,1,N,9,1,1,0,0,10,276,500,0,0,0,0,56,0
Web,1,F,1,Y,1,1,N,,,1,0,0,10,350,0,0,0,0,0,30,0
0,1,M,2,N,1,1,N,9,2,1,0,1,20,600,0,1,0,1,0,65,0
Web,1,M,2,Y,1,1,N,12,2,2,0,3,10,380,0,0,60000,0,0,31,0
Web,1,M,1,Y,1,1,N,9,5,1,0,0,20,381,0,0,0,0,0,41,0
0,1,F,2,Y,1,0,N,0,0,2,0,0,10,350,0,1,0,1,0,62,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,10,890,0,0,0,0,0,47,0
Web,1,F,4,Y,1,1,N,11,1,1,0,0,1,441,0,0,0,0,0,61,0
Web,1,M,1,Y,1,1,N,,,1,0,0,26,550,0,0,0,0,0,36,0
Web,1,F,1,Y,2,1,N,9,,1,0,4,1,500,0,0,0,0,0,38,0
0,1,F,2,Y,1,0,Y,9,2,1,0,0,4,431,0,1,0,1,0,26,0
Web,1,F,2,Y,,1,N,9,2,1,0,3,20,358,0,0,0,0,0,56,0
Web,1,M,1,N,1,1,Y,9,2,1,0,3,1,600,0,0,0,0,0,51,0
0,1,F,2,N,1,0,Y,9,2,1,0,0,13,381,0,1,0,1,0,45,1
0,1,F,4,Y,1,0,N,9,1,2,0,0,0,350,0,1,0,1,0,38,0
Paper,1,M,1,Y,1,1,N,11,4,1,0,0,1,200,0,0,0,0,0,55,1
0,1,M,2,Y,1,0,Y,9,2,1,0,2,10,570,0,1,0,1,0,42,0
Web,1,M,1,Y,,1,N,,,2,0,0,10,680,0,0,0,0,0,22,0
Web,1,F,4,N,1,1,N,9,1,1,0,0,10,212,263.52,0,0,0,0,63,0
0,1,F,1,Y,1,1,N,9,1,7,0,0,46,350,0,1,0,0,0,80,0
Web,1,M,2,Y,1,1,N,9,2,1,0,2,2,800,0,0,0,0,0,35,0
Web,1,F,1,Y,1,1,N,9,5,1,0,1,25,225,0,0,0,0,0,46,0
Web,1,F,2,Y,1,1,N,9,2,1,0,1,12,500,0,0,0,0,0,50,0
Web,1,M,2,Y,1,1,N,9,1,2,0,0,10,350,0,0,0,0,0,70,0
Web,1,F,4,N,5,1,N,9,1,1,0,0,10,380,0,0,0,0,0,97,1
0,1,M,1,Y,1,0,N,9,2,1,0,0,10,408,0,1,0,1,0,41,0
0,1,M,4,Y,1,0,N,9,1,1,0,0,2,350,0,1,0,1,0,85,0
Web,1,F,1,Y,1,1,N,9,4,1,0,0,15,200,0,0,0,0,0,39,1
Web,1,F,2,Y,1,1,N,11,5,1,0,4,1,200,0,0,0,0,0,37,0
Web,1,F,2,N,1,1,N,9,1,1,0,0,10,950,0,0,0,0,0,58,0
0,1,F,1,Y,1,0,N,0,0,1,0,0,0,350,0,1,0,1,0,58,0
Web,1,F,2,Y,1,1,N,,,2,0,0,10,600,0,0,0,0,0,28,1
0,1,M,2,Y,1,1,Y,9,5,1,0,0,5,1000,0,0,0,0,0,34,0
0,1,F,2,Y,1,1,N,11,5,1,0,3,0,1438,0,1,0,1,0,47,0
0,1,M,1,Y,1,0,N,0,0,1,0,0,0,350,0,1,0,1,0,62,0
Web,1,M,2,N,1,1,Y,9,2,1,0,0,12,350,0,0,0,0,0,35,0
0,1,F,2,Y,1,0,N,0,0,2,0,0,5,2138,0,1,0,1,0,33,0
Paper,1,M,2,Y,1,1,N,11,1,1,0,0,10,351,0,0,0,0,0,68,0
0,1,F,7,Y,1,1,N,2,4,1,0,0,0,850,0,1,57000,1,0,45,1
0,1,F,2,Y,1,1,Y,9,2,1,0,0,15,653,0,1,0,1,0,24,0
0,1,M,2,N,1,1,N,0,0,1,0,0,20,350,0,1,0,1,0,55,0
Web,1,M,2,Y,1,1,N,9,1,1,0,0,82,9074,0,0,0,0,0,81,0
0,1,M,2,Y,1,0,N,2,4,1,0,5,6,350,0,1,0,1,0,56,1
0,1,F,2,N,1,1,Y,9,2,1,0,2,2,350,561,1,25000,1,0,36,0
Web,1,F,4,Y,1,1,N,16,5,1,0,0,22,1520,0,0,0,0,0,52,0
Web,1,M,2,Y,1,1,N,9,1,2,0,0,10,530,0,0,0,0,0,67,0
Web,1,F,1,Y,1,1,N,,,1,0,0,12,595,0,0,0,0,0,44,0
0,1,F,1,N,2,0,Y,9,2,1,0,0,3,600,0,0,0,1,0,34,0
Web,1,M,2,Y,1,1,N,,2,1,0,3,14,1000,0,0,0,0,0,25,0
0,1,F,6,Y,1,1,N,0,0,1,0,2,1,980,0,1,0,1,0,28,1
0,1,M,1,Y,2,0,Y,9,5,1,0,0,1,450,409,1,0,1,0,34,0
0,1,F,4,N,1,1,N,0,0,1,0,0,15,280,0,1,0,1,0,46,0
0,1,M,2,N,1,1,Y,11,1,1,0,3,0,421,0,1,0,1,0,74,0
0,1,M,2,Y,1,1,N,9,2,1,0,0,27,2232,0,0,0,0,0,54,0
Web,1,M,4,Y,1,1,N,,1,2,0,0,17,350,0,0,0,0,0,64,0
0,1,M,1,Y,1,1,Y,11,2,1,0,0,0,420,0,1,0,1,0,19,1
Web,1,M,2,Y,1,1,N,9,1,1,0,0,22,1214,0,0,0,0,0,66,0
0,1,F,1,Y,1,1,Y,,,1,0,0,10,320,0,0,0,0,0,43,0
0,1,F,4,Y,1,1,N,9,1,1,0,2,0,441,0,1,0,1,0,50,0
0,1,F,2,Y,1,0,N,0,0,1,0,0,12,291,0,1,0,1,0,56,0
0,1,M,2,Y,1,0,N,9,2,1,0,0,10,416,0,1,0,1,0,48,1
Web,1,F,1,Y,1,1,N,,,1,0,0,10,500,0,0,0,0,0,27,0
0,1,F,4,Y,2,0,N,9,1,1,0,0,1,350,0,1,0,1,0,77,0
Web,1,F,1,Y,1,1,N,,,1,0,0,5,350,0,0,0,0,0,39,1
Web,1,M,2,Y,1,1,N,9,1,1,0,0,12,347,0,0,0,0,0,64,1
Paper,1,M,2,Y,1,1,N,11,1,1,0,0,1,725,0,0,0,0,0,67,0
Web,1,F,1,Y,1,1,N,9,4,1,0,0,20,350,0,0,0,0,0,27,1
Web,1,M,2,Y,1,1,N,9,2,1,0,3,37,610,0,0,0,0,0,37,0
Paper,1,F,1,Y,5,1,Y,9,2,1,0,1,1,699,0,0,0,0,0,43,0
0,1,M,2,Y,1,0,Y,9,2,2,0,2,0,440,0,1,0,1,0,25,0
0,1,F,2,Y,1,0,N,9,5,1,0,0,25,1005,0,0,0,1,0,48,0
0,1,M,1,Y,1,0,Y,9,2,1,0,4,0,665,0,1,0,1,0,46,0
0,1,F,3,Y,1,1,N,,,1,0,0,10,296,0,1,0,0,0,74,0
Web,1,F,1,Y,1,1,N,9,4,1,0,2,15,700,0,0,0,0,0,46,1
Web,1,F,1,Y,2,1,N,,1,1,0,0,2,353,0,0,0,0,0,60,1
0,1,M,2,Y,1,0,Y,7,2,1,0,3,10,1190,0,1,0,1,0,45,0
0,1,F,1,Y,5,1,N,9,1,1,0,0,6,350,0,0,0,0,0,68,0
0,1,F,1,N,1,0,N,0,1,1,0,0,0,351,0,1,0,1,0,63,0
Web,1,F,7,Y,1,1,N,9,4,1,0,2,10,350,0,0,0,0,0,46,0
Web,1,F,1,Y,,1,N,,,1,0,0,10,349,0,0,0,0,0,24,0
0,1,F,2,Y,1,0,N,0,0,1,0,3,11,681,0,1,0,1,0,32,1
Web,1,F,1,Y,1,1,N,2,4,1,0,0,24,2880,0,0,0,0,0,36,0
Web,1,F,4,Y,1,1,N,9,2,2,0,1,27,515,0,0,0,0,0,57,0
Web,1,F,2,N,1,1,N,2,4,1,0,2,10,600,0,0,0,0,0,34,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,10,787.54,0,0,0,0,0,44,0
Web,1,F,4,N,1,1,N,11,1,1,0,2,25,380,0,0,0,0,0,54,0
0,1,F,2,Y,1,1,N,9,4,1,0,0,39,409,0,1,0,1,0,64,0
Web,1,M,6,Y,1,1,N,,,1,0,0,6,1200,0,0,0,0,0,53,0
Web,1,F,2,Y,1,1,N,,,2,0,0,10,700,0,0,0,0,0,24,0
Web,1,F,2,Y,1,1,N,16,5,1,0,2,20,266.12,0,0,0,0,0,28,0
0,1,M,2,Y,1,0,Y,9,2,1,0,1,0,498,0,1,0,1,0,31,0
0,1,M,2,Y,1,0,N,9,0,7,0,0,7,350,0,1,0,1,0,61,0
Web,1,F,5,N,2,1,Y,16,2,1,0,0,6,400,0,0,0,0,0,52,0
0,1,M,1,Y,0,0,N,10,2,1,0,0,0,547,0,1,0,1,0,23,0
Web,1,F,2,N,1,1,N,,,1,0,0,10,350,0,0,0,0,0,44,1
Web,1,F,2,Y,1,1,N,9,1,1,0,0,22,245,0,0,0,0,0,70,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,10,600,0,0,0,0,0,35,1
Web,1,M,1,Y,1,1,Y,9,2,1,0,0,15,323.78,0,0,0,0,0,24,1
Web,1,M,6,Y,1,1,N,9,2,1,0,0,10,752.4,0,0,0,0,0,26,0
0,1,F,4,N,1,1,N,9,1,2,0,0,10,700,0,1,0,1,0,72,1
0,1,M,2,Y,1,0,N,9,2,1,0,2,1,630,0,1,0,1,0,27,1
0,1,M,1,Y,1,1,Y,9,5,2,0,0,0,1068,0,0,0,1,0,34,0
0,1,F,4,N,5,1,N,9,1,1,0,0,20,350,0,1,0,1,0,90,0
0,1,N,2,Y,0,1,Y,11,5,1,0,0,0,1769,0,1,0,1,0,40,0
0,1,F,2,Y,1,0,Y,9,2,2,0,0,2,367,300,1,0,1,0,25,0
Web,1,F,2,Y,,1,N,,,1,0,3,35,300,0,0,0,0,0,57,0
0,1,F,2,Y,0,0,N,0,1,1,0,0,0,350,0,1,0,1,0,65,0
0,1,F,2,N,1,1,N,0,0,1,0,0,10,300,0,1,0,1,0,66,1
0,1,M,1,Y,2,0,N,0,1,1,0,0,0,1100,0,1,70000,1,0,42,0
0,1,F,2,Y,1,1,N,9,5,1,0,1,15,400,0,1,0,1,0,45,0
Web,1,M,2,Y,1,1,Y,9,2,1,0,2,7,719,0,0,0,0,0,25,0
Paper,1,F,1,Y,1,1,N,9,4,1,0,0,1,310,0,0,0,0,0,31,0
Paper,1,F,2,Y,1,1,N,11,4,1,0,0,1,500,0,0,0,0,0,33,0
Web,1,F,1,Y,2,1,N,,,1,0,0,5,460,200,0,0,0,0,31,0
Web,1,F,2,Y,1,1,Y,9,2,7,0,2,5,536,0,0,0,0,0,41,0
Web,1,F,2,N,2,1,N,9,2,1,0,2,2,1330,0,1,25000,0,0,32,1
0,1,M,2,N,1,1,N,9,1,1,0,0,5,460,0,1,0,1,0,54,1
Web,1,F,4,Y,1,1,N,9,1,1,0,0,15,564,0,0,0,0,0,61,0
0,1,M,2,N,2,1,N,0,0,2,0,0,1,600,0,1,0,1,0,47,1
0,1,M,2,Y,1,1,N,2,4,1,0,0,30,1150,0,1,0,1,0,42,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,8,275,0,0,0,0,0,62,0
Web,1,F,1,Y,1,1,N,2,4,1,0,0,10,330,0,0,0,0,0,34,0
Web,1,F,2,Y,1,1,N,9,4,1,0,3,15,328,0,0,0,0,0,36,0
Web,1,F,1,Y,5,1,N,9,2,1,0,0,19,401,0,0,0,0,0,19,0
0,1,F,0,Y,1,1,N,11,1,1,0,0,0,350,0,1,0,1,0,60,0
Web,1,M,2,Y,1,1,N,9,1,1,0,0,10,760,0,0,0,0,0,77,0
Web,1,F,2,N,1,1,N,9,2,1,0,0,3,300,0,0,0,0,0,41,1
0,1,M,2,Y,1,0,Y,9,2,1,0,2,2,2564,0,1,0,1,0,35,0
Paper,1,F,4,N,1,1,N,9,1,1,0,0,1,380,0,0,0,0,0,64,1
0,1,F,2,Y,1,1,N,9,2,1,0,2,5,495,0,1,0,1,0,29,0
Web,1,F,4,Y,1,1,N,9,4,1,0,2,23,250,0,0,0,0,0,55,0
Web,1,M,5,N,5,1,N,9,1,1,0,0,11,561,475,0,0,0,0,68,0
0,1,F,2,Y,1,1,N,9,2,1,0,0,20,375,0,0,0,0,0,47,1
Web,1,M,2,Y,5,1,N,9,5,1,0,1,10,849.99,0,0,0,0,0,57,0
0,1,F,4,Y,1,0,N,9,5,2,0,0,15,327,0,1,0,1,0,66,0
Web,1,F,2,N,1,1,Y,9,1,1,0,0,12,355,0,0,0,0,0,63,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,20,500,0,0,0,0,0,49,0
0,1,M,2,Y,1,1,N,11,4,1,0,1,0,532,0,1,0,1,0,42,0
Web,1,M,4,Y,1,1,N,,,1,0,0,2,1092,0,0,0,0,0,49,1
Web,1,F,2,N,1,1,N,,2,1,0,0,7,500,0,0,0,0,0,51,0
Web,1,M,1,Y,1,1,N,9,2,1,0,0,1,790,0,0,0,0,0,19,0
0,1,F,2,Y,1,1,N,9,1,1,0,1,20,650,0,1,0,1,0,64,0
Web,1,F,2,Y,1,1,N,9,5,1,0,0,15,350,600,0,0,0,0,48,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,29,1050,0,0,40000,0,0,32,0
Web,1,F,1,Y,1,1,Y,11,2,1,0,0,11,600,0,0,0,0,0,29,0
0,1,F,1,Y,1,0,N,9,2,1,0,0,7,845,0,1,0,1,0,24,1
Web,1,F,1,Y,1,1,N,,,1,0,0,18,250,0,0,0,0,0,28,0
Web,1,M,2,Y,,1,N,,,1,0,0,10,611,0,0,0,0,0,31,0
0,1,M,2,Y,1,0,N,9,1,1,0,0,16,750,0,1,0,1,0,69,1
Web,1,M,2,Y,1,1,N,9,2,1,0,0,25,790,0,0,0,0,0,34,0
Web,1,M,2,Y,1,1,N,6,5,2,0,0,8,350,0,0,0,0,0,42,0
0,1,M,1,Y,1,0,Y,9,2,1,0,0,20,633,0,1,0,1,0,25,1
Web,1,F,1,Y,1,1,N,9,,1,0,1,5,372,0,0,0,0,0,31,0
Web,1,M,2,Y,1,1,N,9,2,1,0,1,7,506.78,0,0,0,0,0,32,0
Web,1,F,2,Y,1,1,N,,,1,0,0,10,600,0,0,0,0,0,34,0
0,1,M,2,Y,1,0,Y,9,2,1,0,0,3,455,0,1,0,1,0,41,0
Web,1,F,4,Y,1,1,N,9,5,1,0,0,10,246,0,0,0,0,0,68,0
0,1,M,1,Y,2,0,Y,9,2,1,0,0,2,550,0,1,0,1,0,20,1
0,1,F,1,Y,1,0,Y,9,2,1,0,0,15,467,0,0,25000,1,0,24,0
Web,1,M,6,Y,2,1,Y,9,5,1,0,3,4,1222,0,0,0,0,0,46,0
Web,1,M,2,Y,1,1,N,9,1,1,0,0,8,380,0,0,0,0,0,62,0
Web,1,F,4,Y,1,1,N,9,5,2,0,2,10,381.44,0,0,0,0,0,26,1
0,1,F,1,Y,2,1,N,9,5,1,0,1,1,819,0,1,0,1,0,57,0
Web,1,M,1,Y,1,1,Y,9,2,1,0,0,30,915,0,0,0,0,0,39,1
0,1,F,5,Y,1,1,N,,,2,0,3,6,350,0,1,0,0,0,42,0
0,1,F,2,Y,1,1,N,11,1,1,0,0,0,1062,0,1,0,1,0,51,0
0,1,F,1,N,1,0,Y,9,2,1,0,1,12,717,0,1,35000,1,0,53,0
Web,1,M,2,Y,1,1,N,,,2,0,1,35,708,0,0,0,0,0,59,0
Web,1,M,1,N,,1,Y,9,5,1,0,0,2,613,0,0,0,0,0,28,1
Web,1,F,2,N,5,1,N,9,4,1,0,0,10,500,0,0,0,0,0,26,1
Web,1,M,2,Y,1,1,N,,,2,0,0,30,842.44,0,0,0,0,0,32,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,6,350,0,0,0,0,0,38,0
0,1,M,1,Y,1,1,N,9,5,1,0,0,0,400,0,1,0,1,0,35,0
Web,1,M,2,Y,1,1,N,2,,1,0,0,3,1512,0,0,0,0,0,44,0
0,1,M,2,Y,1,1,N,9,2,1,0,1,15,995,0,1,0,1,0,42,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,10,380,0,0,0,0,0,65,0
0,1,M,2,Y,2,1,N,9,5,1,0,0,0,444,0,1,0,1,0,26,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,5,1376.37,0,0,0,0,0,37,0
Web,1,F,2,Y,1,1,N,9,1,7,0,0,1,738,0,0,0,0,0,60,0
0,1,F,4,Y,1,0,N,0,0,1,0,0,0,262,0,1,0,1,0,69,0
Web,1,M,1,Y,1,1,N,11,,1,0,0,10,364,0,0,0,0,0,26,1
Web,1,F,2,Y,1,1,N,9,4,1,0,0,10,607.2,0,0,0,0,0,44,0
Web,1,F,2,Y,1,1,N,9,4,1,0,6,40,500,0,0,0,0,0,40,0
Web,1,F,4,N,,1,N,9,1,1,0,0,10,350,0,0,0,0,0,51,0
0,1,F,2,Y,1,0,N,9,5,1,0,0,4,424,0,1,0,1,0,29,0
Web,1,F,1,Y,2,1,N,,,1,0,0,10,407,0,0,0,0,0,18,1
0,1,F,4,Y,1,0,N,11,5,1,0,0,16,637,0,1,0,1,0,44,0
Web,1,F,1,N,1,1,Y,9,2,1,0,0,1,380,0,0,0,0,0,41,0
Web,1,M,1,Y,1,1,N,9,,1,0,0,15,410,0,0,15000,0,0,48,0
0,1,F,2,Y,1,1,N,8,5,1,0,0,1,250,0,1,0,1,0,65,0
Web,1,F,2,Y,1,1,N,9,2,1,0,0,8,600,0,0,0,0,0,33,1
0,1,F,1,N,3,1,Y,9,2,1,0,0,3,443,0,1,0,1,0,37,1
0,1,F,4,Y,1,0,N,0,0,7,0,1,1,420,0,1,0,1,0,50,0
0,1,M,1,Y,1,0,Y,12,2,1,0,0,5,950,600,1,0,1,0,25,0
Web,1,F,2,Y,1,1,N,2,4,1,0,1,6,500,0,0,0,0,0,42,0
0,1,F,1,Y,1,1,N,9,4,1,0,0,10,850,0,1,0,0,0,32,0
0,1,M,6,Y,0,0,N,0,0,1,0,0,0,759,0,1,0,1,0,40,0
0,1,F,2,Y,5,1,Y,11,2,1,0,2,0,443,0,1,0,1,0,44,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,1,26,350,0,0,0,0,0,44,0
Web,1,F,2,Y,2,1,Y,9,2,1,0,4,3,350,0,0,0,0,0,37,0
Web,1,M,6,Y,1,1,Y,9,2,1,0,0,20,574,0,0,0,0,0,49,0
Web,1,F,2,Y,1,1,N,9,2,1,0,0,5,860.4,0,0,0,0,0,40,0
Web,1,F,1,Y,1,1,N,,,1,0,0,10,600,0,0,0,0,0,68,0
0,1,M,2,Y,1,1,N,9,2,1,0,5,0,360,0,1,0,1,0,56,0
Web,1,F,4,Y,2,1,N,11,1,2,0,0,0,415,0,0,0,0,0,46,0
Web,1,F,2,N,1,1,Y,9,4,1,0,0,10,400,0,1,0,0,0,69,0
0,1,F,1,Y,1,1,N,9,1,2,0,1,12,710,500,1,0,1,0,42,0
Web,1,F,2,N,1,1,N,2,4,1,0,0,5,375,0,0,0,0,0,45,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,20,252,0,0,0,0,0,73,0
Web,1,M,1,Y,1,1,N,,1,1,0,1,30,1074.08,0,0,0,0,0,47,0
Web,1,F,2,Y,2,1,N,2,4,2,0,2,3,300,0,0,0,0,0,24,0
0,1,M,2,Y,1,0,Y,9,5,1,0,0,20,582,0,1,0,1,0,32,0
Web,1,F,1,Y,1,1,N,9,4,1,0,3,2,1500,0,0,0,0,0,32,1
0,1,F,4,Y,5,0,N,9,1,2,0,0,20,700,0,1,0,1,0,68,0
0,1,F,4,N,1,0,N,9,1,1,0,0,9,350,0,1,0,1,0,69,0
0,1,F,1,Y,1,1,N,9,1,1,0,4,1,592,0,0,0,0,0,42,1
Web,1,M,2,Y,1,1,N,9,2,7,0,2,5,385,0,0,0,0,0,32,0
Web,1,M,2,Y,1,1,N,2,4,1,0,0,8,932,0,0,0,0,0,50,0
0,1,F,2,Y,1,1,Y,9,2,1,0,1,5,2289,0,1,0,1,0,37,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,5,738.8,0,0,0,0,0,34,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,30,478,0,0,0,0,0,33,0
0,1,F,2,Y,1,1,N,9,1,1,0,0,15,600,0,0,0,0,0,49,0
Web,1,M,2,Y,2,1,N,9,2,1,0,1,0,716,0,0,0,0,0,32,1
0,1,M,5,Y,1,0,N,0,0,1,0,0,0,807,0,1,0,1,0,24,1
Web,1,M,2,Y,2,1,N,9,5,1,0,0,4,1350,1200,0,0,0,0,42,1
0,1,F,4,Y,1,0,N,11,1,1,0,0,25,351,0,1,0,1,0,84,1
0,1,F,1,Y,1,1,N,,,1,0,0,1,350,0,1,0,0,0,22,0
Web,1,M,2,Y,1,1,N,2,1,1,0,0,30,380,0,0,0,0,0,57,0
0,1,F,2,Y,1,0,Y,9,5,1,0,3,10,420,0,1,0,1,0,41,0
Web,1,F,2,N,1,1,Y,9,2,1,0,2,9,767,0,0,0,0,0,37,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,1,6,388,0,0,0,0,0,24,0
0,1,M,2,Y,1,1,Y,9,2,7,0,0,0,429,0,1,0,1,0,34,0
0,1,F,2,Y,1,1,N,,,2,0,0,9,248,0,0,0,0,0,43,1
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,22,500.94,0,0,0,0,0,22,0
0,1,F,4,Y,1,0,N,9,5,1,0,1,1,350,0,1,0,1,0,55,0
Paper,1,F,5,N,1,1,N,11,5,2,0,0,1,350,0,0,0,0,0,56,1
Web,1,M,2,Y,1,1,Y,9,2,1,0,2,11,488,0,0,0,0,0,44,0
0,1,M,2,Y,1,0,Y,9,2,1,0,0,0,1507,0,1,45000,1,0,39,0
Web,1,M,2,Y,1,1,N,9,1,1,0,0,1,1457,0,0,0,0,0,48,0
0,1,F,2,Y,1,0,N,9,5,1,0,0,15,350,600,1,0,1,0,30,1
Web,1,F,2,Y,1,1,N,9,2,1,0,0,10,458,1400,0,0,0,0,39,0
Web,1,F,2,N,5,1,N,,,1,0,6,10,350,0,0,0,0,0,79,0
Web,1,F,2,N,,1,N,,,1,0,0,10,342,0,0,0,0,0,45,0
0,1,M,2,Y,1,1,N,,,1,0,0,2,567,0,1,0,0,0,50,0
Web,1,M,2,Y,1,1,N,,,2,0,1,18,1066,0,0,0,0,0,51,0
Web,1,F,2,Y,1,1,Y,9,2,1,0,4,10,526,0,0,0,0,0,38,1
Web,1,M,2,N,1,1,Y,9,2,1,0,0,10,430,0,0,0,0,0,26,0
Web,1,F,1,Y,1,1,N,9,5,1,0,0,10,500,0,0,0,0,0,32,1
Web,1,F,4,Y,1,1,N,,,1,0,0,14,381,0,0,0,0,0,66,0
0,1,F,2,N,1,1,Y,11,2,7,0,1,0,350,0,1,0,1,0,27,0
0,1,F,2,N,1,1,N,0,0,1,0,0,20,350,0,1,0,1,0,61,1
Web,1,M,2,Y,1,1,N,9,1,1,0,0,9,490,0,0,0,0,0,32,0
Web,1,F,1,Y,2,1,N,9,,1,0,0,8,448,100,0,0,0,0,38,0
0,1,M,2,Y,4,1,N,9,2,2,0,5,12,450,0,1,0,1,0,47,0
0,1,M,1,Y,1,0,N,9,1,1,0,4,4,460,0,1,0,1,0,58,0
Web,1,F,4,Y,1,1,N,9,1,1,0,0,10,375,0,0,0,0,0,73,0
0,1,F,5,Y,1,1,Y,9,2,1,0,2,6,622,0,1,0,1,0,47,0
Web,1,F,6,Y,1,1,Y,10,2,2,0,0,10,1140.13,0,0,0,0,0,43,0
Web,1,M,2,N,1,1,N,,,1,0,0,40,485,0,0,0,0,0,70,0
0,1,M,1,Y,1,1,N,9,4,1,0,0,0,720,0,1,0,1,0,46,1
